Month_Year,Year,Python,JavaScript,Java,C#,PhP,Flutter,React,Swift,TypeScript,Matlab
2004-01,2004,30,98,96,76,100,6,1,9,2,78
2004-02,2004,29,98,97,86,99,6,2,9,1,91
2004-03,2004,28,100,100,87,97,5,2,9,2,99
2004-04,2004,28,98,97,89,100,6,1,9,2,95
2004-05,2004,28,91,99,84,92,6,2,10,3,86
2004-06,2004,27,94,89,97,97,7,5,9,2,87
2004-07,2004,27,93,89,98,99,6,3,10,2,71
2004-08,2004,28,91,89,95,94,6,2,27,2,64
2004-09,2004,28,91,91,97,93,7,2,15,2,85
2004-10,2004,27,78,93,90,90,7,2,12,3,94
2004-11,2004,26,83,90,89,84,6,2,10,2,92
2004-12,2004,27,82,86,96,86,6,2,8,3,73
2005-01,2005,26,75,87,89,92,5,1,10,3,66
2005-02,2005,29,81,89,95,91,6,2,10,3,80
2005-03,2005,26,75,85,95,87,6,2,10,3,81
2005-04,2005,26,75,82,95,85,6,2,11,3,82
2005-05,2005,28,77,81,90,87,5,2,11,3,77
2005-06,2005,27,80,79,100,90,6,2,11,2,69
2005-07,2005,26,78,78,96,83,5,2,10,3,59
2005-08,2005,26,74,72,97,82,6,1,11,3,54
2005-09,2005,26,71,74,95,81,6,2,10,3,69
2005-10,2005,35,74,73,95,81,6,1,10,3,77
2005-11,2005,27,71,75,97,81,7,1,9,3,79
2005-12,2005,24,69,72,89,74,5,1,9,3,64
2006-01,2006,25,67,67,87,78,6,2,10,4,61
2006-02,2006,26,68,71,90,80,5,1,10,3,68
2006-03,2006,25,71,70,97,82,5,1,10,3,72
2006-04,2006,24,68,64,91,75,5,1,10,3,71
2006-05,2006,24,68,67,95,74,6,1,10,3,67
2006-06,2006,24,68,61,93,75,5,1,10,3,61
2006-07,2006,24,64,63,90,69,5,1,11,3,52
2006-08,2006,26,67,58,92,74,5,1,11,3,47
2006-09,2006,25,62,58,86,68,5,1,11,4,59
2006-10,2006,26,65,64,85,70,5,1,13,4,69
2006-11,2006,24,62,61,89,69,5,1,12,4,68
2006-12,2006,23,57,58,81,62,4,2,11,4,50
2007-01,2007,23,57,58,83,65,5,1,13,4,50
2007-02,2007,23,58,63,84,67,6,1,13,3,57
2007-03,2007,24,60,63,87,67,5,1,14,3,65
2007-04,2007,22,57,59,89,59,6,1,13,3,65
2007-05,2007,23,58,59,91,66,5,1,14,3,60
2007-06,2007,23,58,57,92,65,5,1,14,3,57
2007-07,2007,22,61,57,95,65,5,1,14,3,46
2007-08,2007,23,59,54,91,60,5,1,14,3,44
2007-09,2007,22,56,53,85,61,5,1,13,3,53
2007-10,2007,23,57,58,93,61,5,1,13,3,66
2007-11,2007,22,55,55,86,59,5,1,16,3,65
2007-12,2007,21,55,51,79,53,5,1,15,3,51
2008-01,2008,21,51,49,78,53,5,1,16,3,48
2008-02,2008,22,52,52,85,54,6,1,16,3,55
2008-03,2008,21,54,51,87,55,6,1,17,3,59
2008-04,2008,22,52,51,90,56,6,1,16,3,64
2008-05,2008,22,50,50,90,54,5,1,16,3,56
2008-06,2008,21,54,50,90,50,5,1,16,3,50
2008-07,2008,21,55,47,91,51,5,1,16,3,44
2008-08,2008,22,50,44,82,50,5,1,16,3,39
2008-09,2008,21,52,48,83,48,6,1,19,3,52
2008-10,2008,23,50,48,84,49,6,1,20,3,62
